"","Hemisphere","ProjectID","AxonType","SWCPath"
"238","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_021.swc"
"239","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_022.swc"
"240","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_026.swc"
"241","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_027.swc"
"242","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_028.swc"
"243","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_030.swc"
"244","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_031.swc"
"245","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_032.swc"
"246","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_034.swc"
"247","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_036.swc"
"248","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_037.swc"
"249","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_038.swc"
"250","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_040.swc"
"251","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_044.swc"
"252","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_045.swc"
"253","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_046.swc"
"254","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_047.swc"
"255","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_048.swc"
"256","Left","PFC","IT","/run/media/admin/LeGAO/website_merge_revised3/swc_allen_axon/192981_051.swc"
